Latin name,Trophic Level,Medium,Taxonomic kingdom,Taxonomic phylum or division,Taxonomic subphylum,Taxonomic superclass,Taxonomic class,Taxonomic order,Taxonomic family
Physa gyrina,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Crangonyx pseudogracilis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Crangonyctidae
Asellus racovitzai,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Asellidae
Philarctus quaeris,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Limnephilidae
Callibaetis skokianus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Baetidae
Sphaerium novaezelandiae,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Pisidiidae
Deleatidium sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Leptophlebiidae
Ceriodaphnia pulchella,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Anabaena inaequalis,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Parachlorella kessleri,ALGAE,Freshwater,Plantae,Chlorophyta,,,Trebouxiophyceae,Chlorellales,Chlorellaceae
Actinonaias pectorosa,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Gammarus tigrinus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Mysis relicta,INVERT,Freshwater,Animalia,Arthropoda,,,Malacostraca,Musida,Mysidae
Acartia bifilosa,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Acartiidae
Utterbackia imbecillis,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Lampsilis cardium,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Ligumia subrostrata,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Megalonaias nervosa,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Parastenocaris germanica,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Harpacticoida,Parastenocarididae
Coregonus muksun,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Salmo trutta ssp lacustris,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Cypris subglobosa,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Ostracoda,Podocopida,Cyprididae
Odontesthes regia,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Atheriniformes,Atherinopsidae
Solea solea,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Pleuronectiformes,Soleidae
Ampelisca araucana,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Ampeliscidae
Gillia altilis,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Hydrobiidae
Molgula sp,INVERT,Saltwater,Animalia,Chordata,Tunicata,,Ascidiacea,Pleurogona,Molgulidae
Heteromastus filiformis,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Canalipalpata,Capitellidae
Ensis minor,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Pharidae
Mulinia lateralis,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Mactridae
Neanthes succinea,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Aciculata,Nereididae
Calamoecia lucasi,INVERT,Freshwater,Animalia,Arthropoda,,,Maxillipoda,Calanoida,Centropagidae
Boeckella delicata,INVERT,Freshwater,Animalia,Arthropoda,,,Maxillipoda,Calanoida,Centropagidae
Mesocyclops leuckarti,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Cyclopoida,Cyclopidae
Petromyzon marinus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Agnatha,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae
Bufo terrestris,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Bufonidae
Hypostomus plecostomus,FISH,Freshwater,Animalia,Chordata,,,Actinopterygii,Cypriniformes,Catostomidae
Puntius tetrazona,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Hyphessobrycon herbertaxelrodi,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Characiformes,Characidae
Stigeoclonium tenue,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chaetophorales,Chaetophoraceae
Brachycentrus americanus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Brachycentridae
Pisidium sp,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Pisidiidae
Pedicia sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Tipulidae
Isonychia bicolor,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Isonychiidae
Stenonema frontale,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Heptageniidae
Paragnetina media,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlidae
Stenonema luteum,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Heptageniidae
Simulium pugetense,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Simuliidae
Chimarra obscura,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Philopotamidae
Tricorythodes sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Leptohyphidae
Baetisca obesa,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Baetiscidae
Paraleptophlebia sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Leptophlebiidae
Acroneuria lycorias,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlidae
Chrysops carbonarus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Tabanidae
Orconectes propinquus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Ephemerella cornuta,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Ephemerellidae
Limnephilus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Limnephilidae
Sphaerium sp,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Pisidiidae
Isoperla slossonae,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlodidae
Ligumia sp,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Lepidostoma sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Lepidostomatidae
Nostoc linckia,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Nitzschia sp,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Pennales,Bacillariaceae
Neopanope texana,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Xanthidae
Lyngbya sp,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Oscillatoriaceae
Salmo clarkii,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Ulva fasciata,ALGAE,Saltwater,Plantae,Chlorophyta,,,Chlorophyceae,Ulotrichales,Ulvaceae
Littorina littorea,INVERT,Saltwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Littorinidae
Rana sp,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Ranidae
Somatochlora cingulata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Corduliidae
Chironomus attenuatus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Oncorhynchus gorbuscha,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Pandalus goniurus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Pandalidae
Elasmopus pectinicrus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Melanotaenia fluviatilis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Atheriniformes,Melanotaeniidae
Eualus suckleyi,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Hippolytidae
Pacifastacus leniusculus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Astacidae
Cyprinella lutrensis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Fundulus diaphanus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Morone americana,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Moronidae
Keratella americana,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Brachionidae
Acipenser fulvescens,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Acipenseriformes,Acipenseridae
Esox masquinongy,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Esociformes,Esocidae
Phyllospora comosa,ALGAE,Saltwater,Chromista,Phaeophyta,,,Phaeophyceae,Fucales,Phyllosporaceae
Chlorella fusca,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Rasbora daniconia,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Oncorhynchus namaycush,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Eudiaptomus gracilis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Diaptomidae
Wallago attu,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Siluridae
Bufo melanostictus,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Bufonidae
Labeo boga,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Rasbora neilgherriensis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Plumatella casmiana,INVERT,Freshwater,Animalia,Ectoprocta,,,Phylactolaemata,Plumatellida,Plumatellidae
Pteronarcys sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Pteronarcyidae
Bryconamericus iheringii,FISH,Freshwater,Animalia,Chordata,Animalia,Osteichthyes,Actinopterygii,Characiformes,Characidae
Daphnia pulicaria,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Nannochloropsis oculata,ALGAE,Saltwater,Chromista,Ochrophyta,,,Eustigmatophyceae,Eustigmatales,Monodopsidaceae
Chlorella marina,ALGAE,Saltwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Acartia clausi,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Acartiidae
Isonychia sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Isonychiidae
Gobius microps,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Gobiidae
Tolypothrix tenuis,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Scytonemataceae
Ceriodaphnia quadrangula,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Pristina longiseta,INVERT,Freshwater,Animalia,Annelida,,,Oligochaeta,Haplotaxida,Naididae
Hydrozetes lacustris,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Sarcoptiformes,Hydrozetidae
Neomysis integer,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Mysida,Mysidae
Chapalichthys pardalis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Goodeidae
Misgurnus fossilis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cobitidae
Nothobranchius furzeri,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Nothobranchiidae
Scenedesmus obliquus,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Navicula seminulum var hustedtii,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Pennales,Naviculaceae
Neocaridina sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Atyidae
Philodina sp,INVERT,Freshwater,Animalia,Rotifera,,,Bdelloidea,Bdelloida,Philodinidae
Ankistrodesmus sp,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Nitzschia kuetzingiana,ALGAE,Saltwater,Chromista,Ochrophyta,Khakista,,Bacillariophyceae,Baccillariales,Bacillariaceae
Stigeoclonium sp,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chaetophorales,Chaetophoraceae
Ulothrix sp,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Ulotrichales,Ulotrichaceae
Sciaenops ocellatus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Sciaenidae
Penaeus chinensis,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Elimia livescens,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Pleuroceridae
Lepidocephalichthys guntea,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cobitidae
Chlorococcum hypnosporum,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Chlorococcaceae
Chlorella ellipsoidea,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Alona sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Chydoridae
Chydorus sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Chydoridae
Chlorella protothecoides,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Saduria entomon,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Chaetiliidae
Hydra viridissima,INVERT,Freshwater,Animalia,Cnidaria,,,Hydrozoa,Hydroida,Hydridae
Rhodeus sericeus ssp amarus,FISH,Freshwater,Animalia,Chordata,,,Actinopterygii,Cypriniformes,Cyprinidae
Bufo bufo,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Bufonidae
Radix plicatula,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Lymnaeidae
Asterias rubens,INVERT,Saltwater,Animalia,Echinodermata,Eleutherozoa,,Asteroidea,Forcipulatida,Asteriidae
Echinogammarus olivii,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Idotea balthica,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Idoteidae
Sphaeroma serratum,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Sphaeromatidae
Oscillatoria agardhii,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Oscillatoriaceae
Gomphonema parvulum,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Cymbellales,Gomphonemataceae
Stephanodiscus hantzschii,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae
Crangon franciscorum,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Crangonidae
Melanoides tuberculata,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Thiaridae
Cyclops viridis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Cyclopoida,Cyclopidae
Terapon jarbua,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Teraponidae
Physa heterostropha,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Eualus sp,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Hippolytidae
Entomoneis cf punctulata,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Suriralles,Entomoneidaceae
Physastra gibbosa,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Nemoura marginata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Nemouridae
Caenis maxima,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Caenidae
Aeshna cyanea,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Aeshnidae
Limnephilus stigma,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Limnephilidae
Gyrinus marinus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Gyrinidae
Holocentropus dubius,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Polycentropodidae
Aedes cyprius,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Mochlonyx culiciformis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chaoboridae
Triogma sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Tipulidae
Glossiphonia complanata,INVERT,Freshwater,Animalia,Annelida,,,Clitellata,Rhynchobdellida,Glossiphoniidae
Chaetogaster diaphanus,INVERT,Freshwater,Animalia,Annelida,,,Oligochaeta,Haplotaxida,Naididae
Stylaria lacustris,INVERT,Freshwater,Animalia,Annelida,,,Oligochaeta,Haplotaxida,Naididae
Helobdella stagnalis,INVERT,Freshwater,Animalia,Annelida,,,Clitellata,Rhynchobdellida,Glossiphoniidae
Mesostoma ehrenbergi,INVERT,Freshwater,Animalia,Platyhelminthes,,,Turbellaria,Neorhabdocoela,Typhloplanidae
Haemopis sanguisuga,INVERT,Freshwater,Animalia,Annelida,,,Clitellata,Arhynchobdellida,Haemopidae
Bufo americanus,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Bufonidae
Philodina acuticornis,INVERT,Freshwater,Animalia,Rotifera,,,Bdelloidea,Bdelloida,Philodinidae
Aeolosoma headleyi,INVERT,Freshwater,Animalia,Annelida,,,Polychaeta,,Aeolosomatidae
Anculosa sp,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Pleuroceridae
Physa integra,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Lymnaea emarginata ssp angulata,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Lymnaeidae
Campostoma anomalum,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Sigara alternata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Corixidae
Philodina acuticornis odiosa,INVERT,Freshwater,Animalia,Rotifera,,,Bdelloidea,Bdelloida,Philodinidae
Chilomonas paramecium,ALGAE,Freshwater,Plantae,Cryptophycophyta,,,Cryptophyceae,Cryptomonadales,Cryptomonadaceae
Psectrocladius sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Eylais hamata,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Eylaidae
Arrenurus globator,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Arrenuridae
Anopheles maculipennis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Limnephilus flavicornis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Limnephilidae
Ilyocoris cimicoides,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Naucoridae
Orthocladius sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Anodonta piscinalis,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Hygrotus novemlineatus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Dytiscidae
Sphaerium corneum,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Pisidiidae
Unio pictorum,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Unio tumidus,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Hydrodroma despiciens,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Hydrodromidae
Argyroneta aquatica,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Araneae,Argyronetidae
Piona coccinea,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Pionidae
Limnochares aquatica,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Limnocharidae
Acilius sulcatus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Dytiscidae
Eusimulium sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Simuliidae
Hydryphantes ruber,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Hydryphantidae
Mideopsis orbicularis,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Mideopsidae
Phryganea striata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Phryganeidae
Leptocerus aterrimus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Leptoceridae
Chydorus sphaericus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Chydoridae
Gerris lacustris,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Gerridae
Siphlonurus linnaeanus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Siphlonuridae
Platycnemis pennipes,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Platycnemididae
Coenagrion pulchellum,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Coenagrionidae
Sialis lutaria,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Megaloptera,Sialidae
Lestes dryas,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Zygoptera,Lestidae
Sympetrum flaveolum,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Libellulidae
Bosmina coregoni,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Bosminidae
Pentaneura monilis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Haliplus flavicollis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Haliplidae
Hydrachna marita,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Hydrachnidae
Hygrobates longipalpis,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Hygrobatidae
Notonecta glauca,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Notonectidae
Dytiscus marginalis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Dytiscidae
Lynceus brachyurus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Lynceidae
Limnesia undulata,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Limnesiidae
Piona nodata,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Pionidae
Hydrobius fuscipes,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Hydrophilidae
Limnesia maculata,INVERT,Freshwater,Animalia,Arthropoda,Chelicerata,,Arachnida,Trombidiformes,Limnesiidae
Ilybius augustior,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Dytiscidae
Plecoglossus altivelis,FISH,Freshwater,Animalia,Chordata,,,Actinopterygii,Osmerifiormes,Osmeridae
Panopeus herbstii,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Xanthidae
Ambassis gymnocephalus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centropomidae
Chela atpar,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Danio devario,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Oryzias melanostigma,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Beloniformes,Adrianichthyidae
Aplocheilus panchax,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Paraleptophlebia submarginata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Leptophlebiidae
Gammarus komareki,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Limnodrilus udekemianus,INVERT,Freshwater,Animalia,Annelida,,,Oligochaeta,Haplotaxida,Tubificidae
Gammarus duebeni,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Bidyanus bidyanus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Teraponidae
